,lat,lng
,12.8696964,77.5821232
,17.9151868,77.5154228
,12.9241077,77.5658037
,12.9556003,77.7217202
,16.1826181,75.6980964
,12.9719321,77.512749
,13.3613904,74.7682112
,17.3001344,76.8183316
,16.5073641,75.2966391
,12.9163022,77.5845727999999
,12.8833794,77.5502305
,13.01368,77.5836016
,12.9297201,77.576396
,12.9348891,77.5561669
,15.2740669,76.3833016999999
,12.9100276,77.5924611
,13.0053876,77.6072533999999
,12.9587003,77.5354815
,12.9587003,77.5354815
,15.3723177,75.1174693999999
,12.9950819,77.6773785
,12.9587003,77.5354815
,15.3723177,75.1174693999999
,16.4217689,74.5671098999999
,13.3396899,77.1109775
,12.9638816,77.749388
,13.0943136,77.58086
,12.9962226,77.6127119
,12.916921,77.559331
,15.458472,75.007795
,12.9999923,77.5500934
,12.9974553,77.5443903
,12.9863228,77.5403418
,12.9662156,77.6067997999999
,15.857627,74.5096269
,15.3422943,75.1241673
,15.4328569,75.6443931
,12.3169603,76.6919448
,15.3536083,75.1306671999999
,13.3363628,77.0972342
,14.661766,74.3097192
,16.1798772,75.6926008
,14.7877025,75.3963698
,13.135822,78.1292103999999
,17.329731,76.8342957
,15.3586032,75.1263831
,15.4589236,75.007808
,17.9141506,77.5337050999999
,14.8107204,74.1289528
,12.9977732,77.5796129
,13.223475,74.978275
,15.8625436,74.5086089999999
,13.3426105,77.1193823999999
,14.2800187,74.4481335999999
,13.0152737,77.6400166
,12.9122401,77.5994238999999
,12.9974553,77.5443903
,12.9287791,77.6349920999999
,12.9496559,77.5701881
,12.9243548,77.6479546
,12.9122401,77.5994238999999
,12.9679015,77.7497267999999
,15.153388,76.9317260999999
,16.8400236,75.7169668
,15.4231502,75.6273981
,15.3536083,75.1306671999999
,12.9164906,77.5847869
,15.8578511,74.5111879999999
,16.8241725,75.7123532
,13.3349661,77.110153
,16.1557022,75.6798044
,12.9171288,77.5917949999999
,16.8232836,75.7298923
,16.2574896,74.4858201999999
,13.5909471,74.6974
,13.5909471,74.6974
,15.3586032,75.1263831
,12.984953,77.556917
,12.9906178,77.5574779
,15.4671774,75.0082396999999
,13.0274518,77.6614324
,12.9951329,77.5738403
,13.024664,77.5857623
,12.3318265,76.6253639
,12.906119,77.5813786
,13.0136616,77.5339379
,12.9242107,77.5731584999999
,13.3596698,74.7625439
,13.3375333,77.1039278
,15.3561997,75.1385612999999
,12.9700489,77.6362406
,12.9679015,77.7497267999999
,12.2946078,76.6261727999999
,12.3110745,76.6525743999999
,12.9275943,77.6216391999999
,12.9122401,77.5994238999999
,12.9970512,77.7613293
,12.974244,77.539247
,15.857627,74.5096269
,12.9628669,77.5775089999999
,16.8400236,75.7169668
,15.4265789,76.5316335
,14.7892937,75.3981816
,16.1855634,75.6988488
,15.3473206,75.1219824
,14.4254389,74.4097112
,13.3363628,77.0972342
,16.1765204,75.6923149
,15.8755596,74.5142748999999
,15.1543484,76.9349352
,13.1666346,78.3939829
,15.4215502,75.6236502
,13.5909471,74.6974
,13.3977917,78.0544946
,15.8510256,75.1198943
,12.9379153,77.557405
,15.7728283,75.1087081
,13.135822,78.1292103999999
,17.329731,76.8342957
,17.325805,76.8245386999999
,15.9239007,75.6785522
,12.9652392,77.5955975
,15.1409557,76.9249950999999
,15.4671774,75.0082396999999
,15.863987,74.5079727
,13.0021627,77.5490646
,13.3323983,74.7470072
,12.947388,77.6189117
,13.0028079,77.6329374
,15.364465,75.1235147
,16.2061196,77.358435
,17.9166256,77.512423
,14.2315379,76.4098088
,14.4597811,75.9174029
,12.9252713,77.5773756999999
,12.5213252,76.8921974
,12.3248397,76.6320365
,15.838199,74.5075263
,15.8653938,74.5080974
,13.04819,74.8710966
,13.128242,78.1352809999999
,13.0541408,77.7176502
,13.607369,79.4517097
,13.0556059,77.6078048999999
,13.024939,77.5972233999999
,12.870509,77.6240364
,13.0979976,77.5673333
,12.9748198,77.5096173
,13.128242,78.1352809999999
,12.9206092,77.5736242999999
,12.9289408,77.5868742999999
,12.9996807,77.6108481
,13.0323687,77.5584061
,12.8718913,74.9874504
,12.8666684,74.8586997
,12.958978,77.7467224
,12.8705812,74.8958675
,12.9719321,77.512749
,12.9882166,77.5943056
,12.9625047,77.6118973
,12.5233028,76.8990055
,12.9112021,77.5758371
,12.9992603,75.235295
,12.4865181,77.0362146
,15.3503858,75.139633
,12.9729356,77.6413906
,12.9656015,77.5432295
,13.067277,77.7802526999999
,16.2177015,77.3599737
,13.331718,77.111199
,14.6186823,74.8343891
,16.162091,74.8210656999999
,12.7096352,77.7014021
,12.6528125,77.1993124999999
,12.932756,77.5846663
,12.9743735,77.5426768
,12.2810208,76.6436102999999
,16.4045489,74.3828582
,13.0357201,77.7352052999999
,12.9223498,77.5201898
,13.0247813,77.5941895
,12.9479738,77.5745018
,15.8629079,74.5076752
,12.9558454,77.7014279
,17.3268935,76.8578984
,15.8553535,74.5116019
